@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
47,-15763.8,-16104.3,170.213,170.213,1
60,-4881.67,-5081.67,200,0,1
75,0,0,0,0,4
24,5204.17,5037.5,166.667,0,5
103,-3438.83,-7.76699,116.505,-3547.57,1
26,307.692,0,153.846,0,5
92,-1516.3,86.9565,-4157.61,2554.35,3
103,-2416.5,5088.35,-7504.85,0,3
42,190.476,95.2381,95.2381,0,5
71,-4187.32,2554.93,0,0,2
571,1884.94,4870.23,-1480.39,171.804,2
23,-39139.1,16878.3,0,-14391.3,1
203,3475.37,3435.96,19.7044,19.7044,4
24,166.667,166.667,0,0,4
89,3422.47,-2006.74,5429.21,0,2
44,-16604.5,9022.73,-16688.6,1940.91,3
209,2379.9,4229.19,-1849.28,0,2
23,70026.1,69852.2,0,173.913,4
317,4538.17,4368.45,264.038,1415.77,1
29,13227.6,13089.7,0,137.931,5
41,-14122,-1036.59,0,-13085.4,2
243,-246.502,1925.93,-2911.93,-832.51,5
194,-13302.1,-1693.3,-28.866,-9112.37,1
33,2733.33,2612.12,121.212,0,3
623,6631.78,7036.28,-1926.81,1420.71,4
1410,1015.46,3366.31,-2400.35,340.496,3
75,-19713.3,-19234.7,-618.667,140,4
75,9021.33,13434.7,0,-4413.33,3
68,9072.06,9025,-11.7647,58.8235,5
42,95.2381,0,0,95.2381,5
85,-3664.71,4231.76,-7896.47,0,3
211,-1007.11,-1754.03,727.962,18.9573,3
516,2122.48,2093.41,-659.884,688.953,2
910,-9551.21,-3717.03,-2673.08,-2752.2,1
84,13097.6,13107.1,-9.52381,0,4
407,-2958.23,392.629,-4162.41,811.548,1
156,-5957.05,628.205,-6610.9,25.641,2
37,15678.4,15570.3,0,108.108,5
291,-433.677,3254.98,-4025.77,337.113,1
849,-3327.92,-1969.38,-280.565,-1077.97,3
101,-4340.59,971.287,0,-5311.88,1
100,-5251,40,-504,0,2
158,-7510.76,-5734.18,-1776.58,0,4
27,9103.7,8955.56,0,148.148,5
305,-6634.1,-2697.38,-4321.97,385.246,5
78,9296.15,9357.69,0,-61.5385,5
199,5342.21,14673.4,-8072.36,-1234.67,4
60,-3445,6193.33,0,-9638.33,2
59,-33172.9,-24079.7,0,-9093.22,2
88,4359.09,4313.64,45.4545,0,2
37,-33354.1,-33462.2,108.108,0,4
412,6227.43,6933.25,-11.6505,-3311.17,5
163,-2909.82,-1046.01,-4717.79,2853.99,2
283,-274.205,14.1343,-301.767,13.4276,1
46,-15500,-23363,0,0,3
182,1428.57,-30.7692,1015.38,0,3
24,16508.3,16508.3,0,0,4
25,33036,33228,0,-192,5
46,-2197.83,-2197.83,0,0,1
64,34.375,-28.125,62.5,0,3
46,4865.22,86.9565,0,4778.26,1
35,-22662.9,-7897.14,-1202.86,114.286,3
41,195.122,0,0,195.122,1
40,57127.5,57127.5,0,0,5
271,627.675,4293.36,-1259.78,-2420.66,5
267,10383.5,10773.8,29.9625,-420.225,4
284,-12772.2,-7128.87,-2042.61,-229.577,3
109,128.44,2051.38,-1878.9,-44.0367,4
463,1103.89,5501.51,-2495.68,-1901.94,3
161,-15880.1,-13111.8,1503.73,-4272.05,2
41,6734.15,9009.76,0,-2275.61,2
40,100,100,0,0,5
24,-19779.2,0,0,166.667,4
289,-4918.69,713.841,-3909.69,-1722.84,2
71,-3656.34,-3712.68,56.338,0,4
314,-9521.97,-3078.34,-2276.11,-2642.99,1
344,-8264.53,-4669.48,-1111.92,-2483.14,3
623,6631.78,7036.28,-1926.81,1420.71,4
137,1927.74,264.964,29.1971,1633.58,1
31,-7487.1,18519.4,-26135.5,129.032,4
55,-7563.64,-7636.36,0,72.7273,3
77,14598.7,10466.2,0,3348.05,3
87,2228.74,1122.99,0,1105.75,1
112,-6879.46,335.714,0,35.7143,2
86,15223.3,15176.7,0,46.5116,1
23,19413,32217.4,0,-12804.3,2
98,-23958.2,-6376.53,-11263.3,-6318.37,2
30,1230,2606.67,0,-1376.67,4
217,2215.21,-211.982,-1035.48,978.341,3
193,6188.08,5381.35,-1533.16,2339.9,1
