@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute stars {1,2,3,4,5}
@data
0.6766000000000001,75,3
0.6169,68,5
0.004,42,5
-0.3115,85,3
-0.21249999999999994,211,3
1.0952000000000002,516,2
-8.691600000000001,910,1
1.1002,84,4
-1.204,407,1
-0.9293,156,2
0.5801000000000001,37,5
-0.12619999999999984,291,1
-2.8254,849,3
-0.4384,101,1
-0.5251,100,2
-1.1867,158,4
0.2458,27,5
-2.0234,305,5
0.7251,78,5
1.0631000000000002,199,4
-0.20670000000000002,60,2
-1.9571999999999998,59,2
0.3836,88,2
-1.2341,37,4
2.5657,412,5
-0.4743,163,2
-0.0776,283,1
-0.7129999999999999,46,3
0.25999999999999995,182,3
0.3962,24,4
0.8259,25,5
-0.10110000000000002,46,1
0.0021999999999999797,64,3
0.2238,46,1
-0.7932000000000001,35,3
0.008,41,1
2.2851,40,5
0.17009999999999986,271,5
2.7724,267,4
-3.6273000000000004,284,3
0.014000000000000009,109,4
0.5111000000000002,463,3
-2.5567,161,2
0.2761,41,2
0.004,40,5
-0.4747,24,4
-1.4214999999999998,289,2
-0.2596,71,4
-2.9899,314,1
-2.8429999999999995,344,3
4.131599999999995,623,4
0.2641000000000001,137,1
-0.23209999999999997,31,4
-0.416,55,3
1.1240999999999999,77,3
0.19390000000000002,87,1
-0.7705,112,2
1.3092,86,1
0.4465,23,2
-2.3479,98,2
0.036899999999999995,30,4
0.48069999999999985,217,3
1.1943,193,1
-0.2575,45,4
-0.9202,234,2
0.4759,26,4
-0.5056000000000003,285,2
0,23,4
-0.2541,23,1
0.8187,107,4
0.9722999999999999,116,5
-0.7536,115,2
0.3173,311,2
1.0066000000000002,58,3
0.43149999999999994,634,2
-2.0536,142,1
0.30529999999999996,33,5
0.3922,27,3
-0.5718000000000002,98,1
0.2243,59,4
-0.5696,68,5
-0.4060000000000001,143,1
